Date,Open,High,Low,Close,Adj Close,Volume
2019-10-23,26752.000000,26852.000000,26588.000000,26802.000000,26802.000000,147111
2019-10-24,26819.000000,26872.000000,26655.000000,26780.000000,26780.000000,152055
2019-10-25,26776.000000,26967.000000,26710.000000,26904.000000,26904.000000,129494
2019-10-27,26931.000000,26955.000000,26926.000000,26944.000000,26944.000000,147999
2019-10-28,26931.000000,27120.000000,26926.000000,27053.000000,27053.000000,137575
2019-10-29,27062.000000,27111.000000,26967.000000,27042.000000,27042.000000,125026
2019-10-30,27053.000000,27230.000000,26940.000000,27132.000000,27132.000000,146042
2019-10-31,27172.000000,27180.000000,26847.000000,26982.000000,26982.000000,197544
2019-11-01,26992.000000,27278.000000,26959.000000,27259.000000,27259.000000,156759
2019-11-03,27278.000000,27318.000000,27274.000000,27306.000000,27306.000000,78143
2019-11-04,27278.000000,27450.000000,27274.000000,27380.000000,27380.000000,135057
2019-11-05,27402.000000,27493.000000,27366.000000,27421.000000,27421.000000,126855
2019-11-06,27420.000000,27470.000000,27337.000000,27430.000000,27430.000000,129297
2019-11-07,27454.000000,27739.000000,27390.000000,27667.000000,27667.000000,159355
2019-11-08,27672.000000,27717.000000,27541.000000,27631.000000,27631.000000,125901
2019-11-10,27645.000000,27646.000000,27623.000000,27628.000000,27628.000000,34081
2019-11-11,27645.000000,27673.000000,27470.000000,27658.000000,27658.000000,123436
2019-11-12,27658.000000,27732.000000,27597.000000,27663.000000,27663.000000,134410
2019-11-13,27661.000000,27771.000000,27524.000000,27761.000000,27761.000000,160990
2019-11-14,27772.000000,27806.000000,27633.000000,27746.000000,27746.000000,143715
2019-11-15,27750.000000,27971.000000,27736.000000,27953.000000,27953.000000,136561
2019-11-17,27960.000000,27962.000000,27928.000000,27930.000000,27930.000000,51098
2019-11-18,27960.000000,28059.000000,27926.000000,28008.000000,28008.000000,127718
2019-11-19,28013.000000,28128.000000,27851.000000,27895.000000,27895.000000,151389
2019-11-20,27884.000000,27884.000000,27643.000000,27800.000000,27800.000000,189292
2019-11-21,27726.000000,27846.000000,27654.000000,27748.000000,27748.000000,163143
2019-11-22,27754.000000,27884.000000,27722.000000,27862.000000,27862.000000,128358
2019-11-24,27927.000000,27940.000000,27904.000000,27922.000000,27922.000000,73695
2019-11-25,27927.000000,28045.000000,27904.000000,28039.000000,28039.000000,96942
2019-11-26,28025.000000,28149.000000,27999.000000,28130.000000,28130.000000,118715
2019-11-27,28122.000000,28173.000000,28058.000000,28148.000000,28148.000000,99873
2019-11-29,null,null,null,null,null,null
2019-12-01,28082.000000,28107.000000,28079.000000,28090.000000,28090.000000,48063
2019-12-02,28082.000000,28197.000000,27772.000000,27789.000000,27789.000000,226061
2019-12-03,27788.000000,27847.000000,27312.000000,27487.000000,27487.000000,260953
2019-12-04,27478.000000,27727.000000,27397.000000,27643.000000,27643.000000,182074
2019-12-05,27644.000000,27773.000000,27558.000000,27678.000000,27678.000000,164776
2019-12-06,27688.000000,28039.000000,27675.000000,28014.000000,28014.000000,150639
2019-12-08,28020.000000,28047.000000,28020.000000,28027.000000,28027.000000,38908
2019-12-09,28020.000000,28047.000000,27878.000000,27902.000000,27902.000000,109241
2019-12-10,27901.000000,27959.000000,27726.000000,27921.000000,27921.000000,164907
2019-12-11,27924.000000,27981.000000,27804.000000,27924.000000,27924.000000,140780
2019-12-12,27933.000000,28230.000000,27856.000000,28131.000000,28131.000000,239172
2019-12-13,28181.000000,28303.000000,28036.000000,28168.000000,28168.000000,168864
2019-12-15,28192.000000,28204.000000,28167.000000,28183.000000,28183.000000,29938
2019-12-16,28192.000000,28345.000000,28159.000000,28253.000000,28253.000000,78480
2019-12-17,28235.000000,28335.000000,28173.000000,28276.000000,28276.000000,70689
2019-12-18,28257.000000,28327.000000,28238.000000,28266.000000,28266.000000,38628
2019-12-19,28275.000000,28416.000000,28242.000000,28386.000000,28386.000000,34961
2019-12-20,28390.000000,28605.599609,28373.000000,28605.599609,28605.599609,146964
2019-12-22,28491.000000,28509.000000,28475.000000,28505.000000,28505.000000,34884
2019-12-23,28491.000000,28583.000000,28475.000000,28550.000000,28550.000000,93613
2019-12-24,null,null,null,null,null,null
2019-12-26,28518.000000,28624.000000,28510.000000,28619.000000,28619.000000,59115
2019-12-27,28603.000000,28721.000000,28596.000000,28610.000000,28610.000000,121521
2019-12-29,28618.000000,28641.000000,28618.000000,28641.000000,28641.000000,32674
2019-12-30,28618.000000,28660.000000,28403.000000,28440.000000,28440.000000,165288
2019-12-31,28427.000000,28553.000000,28341.000000,28508.000000,28508.000000,127526
2020-01-02,28553.000000,28871.000000,28538.000000,28841.000000,28841.000000,183583
2020-01-03,28844.000000,28893.000000,28431.000000,28602.000000,28602.000000,245778
2020-01-05,28494.000000,28504.000000,28446.000000,28489.000000,28489.000000,175540
2020-01-06,28494.000000,28700.000000,28351.000000,28642.000000,28642.000000,218793
2020-01-07,28636.000000,28739.000000,28446.000000,28526.000000,28526.000000,198208
2020-01-08,28502.000000,28833.000000,28084.000000,28770.000000,28770.000000,337249
2020-01-09,28772.000000,28953.000000,28745.000000,28929.000000,28929.000000,181585
2020-01-10,28930.000000,29022.000000,28751.000000,28777.000000,28777.000000,183361
2020-01-12,28775.000000,28838.000000,28775.000000,28809.000000,28809.000000,124607
2020-01-13,28775.000000,28907.000000,28775.000000,28871.000000,28871.000000,141633
2020-01-14,28874.000000,29015.000000,28737.000000,28934.000000,28934.000000,232554
2020-01-15,28934.000000,29090.000000,28838.000000,29029.000000,29029.000000,224025
2020-01-16,29034.000000,29263.000000,29032.000000,29240.000000,29240.000000,152873
2020-01-17,29245.000000,29362.000000,29242.000000,29279.000000,29279.000000,170084
2020-01-19,29280.000000,29304.000000,29263.000000,29304.000000,29304.000000,59861
2020-01-21,29280.000000,29318.000000,29108.000000,29179.000000,29179.000000,238628
2020-01-22,29177.000000,29309.000000,29093.000000,29140.000000,29140.000000,192697
2020-01-23,29112.000000,29150.000000,28924.000000,29127.000000,29127.000000,232278
2020-01-24,29129.000000,29241.000000,28796.000000,28933.000000,28933.000000,301305
2020-01-26,28720.000000,28723.000000,28605.000000,28653.000000,28653.000000,495895
2020-01-27,28720.000000,28732.000000,28405.000000,28481.000000,28481.000000,363768
2020-01-28,28479.000000,28780.000000,28471.000000,28710.000000,28710.000000,261243
2020-01-29,28736.000000,28888.000000,28650.000000,28710.000000,28710.000000,235907
2020-01-30,28718.000000,28843.000000,28432.000000,28791.000000,28791.000000,347453
2020-01-31,28838.000000,28881.000000,28105.000000,28196.000000,28196.000000,369128
2020-02-02,28159.000000,28284.000000,28136.000000,28247.000000,28247.000000,295544
2020-02-03,28159.000000,28573.000000,28136.000000,28361.000000,28361.000000,269200
2020-02-04,28366.000000,28847.000000,28287.000000,28789.000000,28789.000000,222741
2020-02-05,28776.000000,29275.000000,28692.000000,29241.000000,29241.000000,276317
2020-02-06,29248.000000,29475.000000,29186.000000,29328.000000,29328.000000,238290
2020-02-07,29357.000000,29367.000000,29006.000000,29044.000000,29044.000000,228295
2020-02-09,29021.000000,29077.000000,28850.000000,28921.000000,28921.000000,235078
2020-02-10,29021.000000,29250.000000,28850.000000,29245.000000,29245.000000,198764
2020-02-11,29237.000000,29395.000000,29162.000000,29229.000000,29229.000000,198861
2020-02-12,29261.000000,29538.000000,29209.000000,29523.000000,29523.000000,172696
2020-02-13,29529.000000,29543.000000,29245.000000,29432.000000,29432.000000,220172
2020-02-14,29446.000000,29519.000000,29267.000000,29395.000000,29395.000000,174890
2020-02-16,29384.000000,29464.000000,29384.000000,29441.000000,29441.000000,9274
2020-02-18,29384.000000,29476.000000,29100.000000,29211.000000,29211.000000,268667
2020-02-19,29240.000000,29397.000000,29232.000000,29337.000000,29337.000000,153041
2020-02-20,29366.000000,29434.000000,28931.000000,29171.000000,29171.000000,288117
2020-02-21,29154.000000,29176.000000,28871.000000,28981.000000,28981.000000,322584
2020-02-23,28745.000000,28754.000000,28578.000000,28646.000000,28646.000000,429240
2020-02-24,28745.000000,28754.000000,27887.000000,27968.000000,27968.000000,503595
2020-02-25,27927.000000,28234.000000,26976.000000,27117.000000,27117.000000,571418
2020-02-26,27124.000000,27519.000000,26692.000000,26914.000000,26914.000000,588272
2020-02-27,26820.000000,26977.000000,25500.000000,25552.000000,25552.000000,689083
2020-02-28,25522.000000,25772.000000,24675.000000,25364.000000,25364.000000,735823
2020-03-01,null,null,null,null,null,null
2020-03-02,25196.000000,26711.000000,24851.000000,26468.000000,26468.000000,637915
2020-03-03,26562.000000,27059.000000,25679.000000,25880.000000,25880.000000,607045
2020-03-04,25809.000000,27075.000000,25688.000000,26965.000000,26965.000000,381744
2020-03-05,26921.000000,26973.000000,25915.000000,26060.000000,26060.000000,461258
2020-03-06,26143.000000,26282.000000,25193.000000,25789.000000,25789.000000,581213
2020-03-08,null,null,null,null,null,null
2020-03-09,25356.000000,25356.000000,23549.000000,23877.000000,23877.000000,335681
2020-03-10,23727.000000,25020.000000,23424.000000,24849.000000,24849.000000,523496
2020-03-11,24838.000000,24890.000000,23300.000000,23575.000000,23575.000000,495349
2020-03-12,23565.000000,23851.000000,20875.000000,21085.000000,21085.000000,465613
2020-03-13,20769.000000,23147.000000,20388.000000,22988.000000,22988.000000,232403
2020-03-15,null,null,null,null,null,null
2020-03-16,22867.000000,22899.000000,20062.000000,20399.000000,20399.000000,113138
2020-03-17,20381.000000,21380.000000,19872.000000,20966.000000,20966.000000,121858
2020-03-18,20791.000000,20954.000000,18904.000000,19981.000000,19981.000000,87328
2020-03-19,19996.000000,20497.000000,18993.000000,20003.000000,20003.000000,54061
2020-03-20,19712.000000,20999.000000,19543.000000,20255.500000,20255.500000,286183
2020-03-22,18504.000000,18507.000000,18086.000000,18220.000000,18220.000000,178877
2020-03-23,18504.000000,19804.000000,18086.000000,18497.000000,18497.000000,308160
2020-03-24,18584.000000,20710.000000,18584.000000,20608.000000,20608.000000,287349
2020-03-25,20679.000000,21892.000000,20279.000000,21026.000000,21026.000000,334528
